2026-06-07 10:06:03 | INFO     | ============================================================
2026-06-07 10:06:03 | INFO     | TRADING PIPELINE INICIADO
2026-06-07 10:06:03 | INFO     | ============================================================
2026-06-07 10:06:03 | INFO     | ðŸ“ Directorios de trabajo configurados
2026-06-07 10:06:03 | INFO     | ðŸš€ Ejecutando modo: PRODUCTION
2026-06-07 10:06:03 | INFO     | 
============================================================
2026-06-07 10:06:03 | INFO     | MODO: PRODUCCIÃ“N
2026-06-07 10:06:03 | INFO     | ============================================================

2026-06-07 10:06:03 | WARNING  | Mercado en pausa para EURUSD [production]: ultimo tick demasiado viejo (141063s > 900s).
2026-06-07 10:06:03 | WARNING  | Mercado en pausa para EURUSD [monitor_runtime]: ultimo tick demasiado viejo (141063s > 900s).
2026-06-07 10:07:38 | INFO     | ============================================================
2026-06-07 10:07:38 | INFO     | TRADING PIPELINE INICIADO
2026-06-07 10:07:38 | INFO     | ============================================================
2026-06-07 10:07:38 | INFO     | ðŸ“ Directorios de trabajo configurados
2026-06-07 10:07:38 | INFO     | ðŸš€ Ejecutando modo: SYNC_TRADES
2026-06-07 10:07:38 | INFO     | 
============================================================
2026-06-07 10:07:38 | INFO     | MODO: SYNC TRADES
2026-06-07 10:07:38 | INFO     | ============================================================

2026-06-07 10:07:38 | WARNING  | Mercado en pausa para EURUSD [sync_trades]: ultimo tick demasiado viejo (141158s > 900s).
2026-06-07 10:07:38 | INFO     | MODO SYNC TRADES EN PAUSA.

2026-06-07 10:08:22 | INFO     | ============================================================
2026-06-07 10:08:22 | INFO     | TRADING PIPELINE INICIADO
2026-06-07 10:08:22 | INFO     | ============================================================
2026-06-07 10:08:22 | INFO     | ðŸ“ Directorios de trabajo configurados
2026-06-07 10:08:22 | INFO     | ðŸš€ Ejecutando modo: SYNC_TRADES
2026-06-07 10:08:22 | INFO     | 
============================================================
2026-06-07 10:08:22 | INFO     | MODO: SYNC TRADES
2026-06-07 10:08:22 | INFO     | ============================================================

2026-06-07 10:08:22 | WARNING  | Mercado en pausa para EURUSD [sync_trades]: ultimo tick demasiado viejo (141203s > 900s).
2026-06-07 10:08:22 | INFO     | MODO SYNC TRADES EN PAUSA.

2026-06-07 10:09:17 | INFO     | ============================================================
2026-06-07 10:09:17 | INFO     | TRADING PIPELINE INICIADO
2026-06-07 10:09:17 | INFO     | ============================================================
2026-06-07 10:09:17 | INFO     | ðŸ“ Directorios de trabajo configurados
2026-06-07 10:09:17 | INFO     | ðŸš€ Ejecutando modo: SYNC_TRADES
2026-06-07 10:09:17 | INFO     | 
============================================================
2026-06-07 10:09:17 | INFO     | MODO: SYNC TRADES
2026-06-07 10:09:17 | INFO     | ============================================================

2026-06-07 10:09:17 | WARNING  | Mercado en pausa para EURUSD [sync_trades]: ultimo tick demasiado viejo (141258s > 900s).
2026-06-07 10:09:17 | INFO     | MODO SYNC TRADES EN PAUSA.

2026-06-07 10:09:39 | WARNING  | Mercado en pausa para EURUSD [monitor_runtime]: ultimo tick demasiado viejo (141280s > 900s).
2026-06-07 10:10:17 | INFO     | ============================================================
2026-06-07 10:10:17 | INFO     | TRADING PIPELINE INICIADO
2026-06-07 10:10:17 | INFO     | ============================================================
2026-06-07 10:10:17 | INFO     | ðŸ“ Directorios de trabajo configurados
2026-06-07 10:10:17 | INFO     | ðŸš€ Ejecutando modo: SYNC_TRADES
2026-06-07 10:10:17 | INFO     | 
============================================================
2026-06-07 10:10:17 | INFO     | MODO: SYNC TRADES
2026-06-07 10:10:17 | INFO     | ============================================================

2026-06-07 10:10:17 | WARNING  | Mercado en pausa para EURUSD [sync_trades]: ultimo tick demasiado viejo (141318s > 900s).
2026-06-07 10:10:17 | INFO     | MODO SYNC TRADES EN PAUSA.

2026-06-07 10:10:55 | INFO     | ============================================================
2026-06-07 10:10:55 | INFO     | TRADING PIPELINE INICIADO
2026-06-07 10:10:55 | INFO     | ============================================================
2026-06-07 10:10:55 | INFO     | ðŸ“ Directorios de trabajo configurados
2026-06-07 10:10:55 | INFO     | ðŸš€ Ejecutando modo: PRODUCTION
2026-06-07 10:10:55 | INFO     | 
============================================================
2026-06-07 10:10:55 | INFO     | MODO: PRODUCCIÃ“N
2026-06-07 10:10:55 | INFO     | ============================================================

2026-06-07 10:10:55 | WARNING  | Mercado en pausa para EURUSD [production]: ultimo tick demasiado viejo (141355s > 900s).
2026-06-07 10:10:55 | INFO     | MODO PRODUCCIÃ“N EN PAUSA.

2026-06-07 10:11:20 | INFO     | ============================================================
2026-06-07 10:11:20 | INFO     | TRADING PIPELINE INICIADO
